Dex;Pokemon;Evolue_vers;Niveau;Type_regle
1;BULBASAUR;2;16;NIVEAU
2;IVYSAUR;3;32;NIVEAU
3;VENUSAUR;0;0;FINALE
4;CHARMANDER;5;16;NIVEAU
5;CHARMELEON;6;36;NIVEAU
6;CHARIZARD;0;0;FINALE
7;SQUIRTLE;8;16;NIVEAU
8;WARTORTLE;9;36;NIVEAU
9;BLASTOISE;0;0;FINALE
10;CATERPIE;11;7;NIVEAU
11;METAPOD;12;10;NIVEAU
12;BUTTERFREE;0;0;FINALE
13;WEEDLE;14;7;NIVEAU
14;KAKUNA;15;10;NIVEAU
15;BEEDRILL;0;0;FINALE
16;PIDGEY;17;18;NIVEAU
17;PIDGEOTTO;18;36;NIVEAU
18;PIDGEOT;0;0;FINALE
19;RATTATA;20;20;NIVEAU
20;RATICATE;0;0;FINALE
21;SPEAROW;22;20;NIVEAU
22;FEAROW;0;0;FINALE
23;EKANS;24;22;NIVEAU
24;ARBOK;0;0;FINALE
25;PIKACHU;26;0;SPECIALE
26;RAICHU;0;0;FINALE
27;SANDSHREW;28;22;NIVEAU
28;SANDSLASH;0;0;FINALE
29;NIDORAN H;30;16;NIVEAU
30;NIDORINA;31;0;SPECIALE
31;NIDOQUEEN;0;0;FINALE
32;NIDORAN M;33;16;NIVEAU
33;NIDORINO;34;0;SPECIALE
34;NIDOKING;0;0;FINALE
35;CLEFAIRY;36;0;SPECIALE
36;CLEFABLE;0;0;FINALE
37;VULPIX;38;0;SPECIALE
38;NINETALES;0;0;FINALE
39;JIGGLYPUFF;40;0;SPECIALE
40;WIGGLYTUFF;0;0;FINALE
41;ZUBAT;42;22;NIVEAU
42;GOLBAT;169;0;SPECIALE
43;ODDISH;44;21;NIVEAU
44;GLOOM;45;0;SPECIALE
45;VILEPLUME;0;0;FINALE
46;PARAS;47;24;NIVEAU
47;PARASECT;0;0;FINALE
48;VENONAT;49;31;NIVEAU
49;VENOMOTH;0;0;FINALE
50;DIGLETT;51;26;NIVEAU
51;DUGTRIO;0;0;FINALE
52;MEOWTH;53;28;NIVEAU
53;PERSIAN;0;0;FINALE
54;PSYDUCK;55;33;NIVEAU
55;GOLDUCK;0;0;FINALE
56;MANKEY;57;28;NIVEAU
57;PRIMEAPE;0;0;FINALE
58;GROWLITHE;59;0;SPECIALE
59;ARCANINE;0;0;FINALE
60;POLIWAG;61;25;NIVEAU
61;POLIWHIRL;62;0;SPECIALE
62;POLIWRATH;0;0;FINALE
63;ABRA;64;16;NIVEAU
64;KADABRA;65;0;SPECIALE
65;ALAKAZAM;0;0;FINALE
66;MACHOP;67;28;NIVEAU
67;MACHOKE;68;0;SPECIALE
68;MACHAMP;0;0;FINALE
69;BELLSPROUT;70;21;NIVEAU
70;WEEPINBELL;71;0;SPECIALE
71;VICTREEBEL;0;0;FINALE
72;TENTACOOL;73;30;NIVEAU
73;TENTACRUEL;0;0;FINALE
74;GEODUDE;75;25;NIVEAU
75;GRAVELER;76;0;SPECIALE
76;GOLEM;0;0;FINALE
77;PONYTA;78;40;NIVEAU
78;RAPIDASH;0;0;FINALE
79;SLOWPOKE;80;37;NIVEAU
80;SLOWBRO;0;0;FINALE
81;MAGNEMITE;82;30;NIVEAU
82;MAGNETON;0;0;FINALE
83;FARFETCHD;0;0;FINALE
84;DODUO;85;31;NIVEAU
85;DODRIO;0;0;FINALE
86;SEEL;87;34;NIVEAU
87;DEWGONG;0;0;FINALE
88;GRIMER;89;38;NIVEAU
89;MUK;0;0;FINALE
90;SHELLDER;91;0;SPECIALE
