Dex;Nom français officiel/audité;Nom affiché TamaPoke (ASCII);Statut
1;Bulbizarre;BULBIZARRE;OK
2;Herbizarre;HERBIZARRE;OK
3;Florizarre;FLORIZARRE;OK
4;Salameche;SALAMECHE;OK
5;Reptincel;REPTINCEL;OK
6;Dracaufeu;DRACAUFEU;OK
7;Carapuce;CARAPUCE;OK
8;Carabaffe;CARABAFFE;OK
9;Tortank;TORTANK;OK
10;Chenipan;CHENIPAN;OK
11;Chrysacier;CHRYSACIER;OK
12;Papilusion;PAPILUSION;OK
13;Aspicot;ASPICOT;OK
14;Coconfort;COCONFORT;OK
15;Dardargnan;DARDARGNAN;OK
16;Roucool;ROUCOOL;OK
17;Roucoups;ROUCOUPS;OK
18;Roucarnage;ROUCARNAGE;OK
19;Rattata;RATTATA;OK
20;Rattatac;RATTATAC;OK
21;Piafabec;PIAFABEC;OK
22;Rapasdepic;RAPASDEPIC;OK
23;Abo;ABO;OK
24;Arbok;ARBOK;OK
25;Pikachu;PIKACHU;OK
26;Raichu;RAICHU;OK
27;Sabelette;SABELETTE;OK
28;Sablaireau;SABLAIREAU;OK
29;Nidoran F;NIDORAN F;OK
30;Nidorina;NIDORINA;OK
31;Nidoqueen;NIDOQUEEN;OK
32;Nidoran M;NIDORAN M;OK
33;Nidorino;NIDORINO;OK
34;Nidoking;NIDOKING;OK
35;Melofee;MELOFEE;OK
36;Melodelfe;MELODELFE;OK
37;Goupix;GOUPIX;OK
38;Feunard;FEUNARD;OK
39;Rondoudou;RONDOUDOU;OK
40;Grodoudou;GRODOUDOU;OK
41;Nosferapti;NOSFERAPTI;OK
42;Nosferalto;NOSFERALTO;OK
43;Mystherbe;MYSTHERBE;OK
44;Ortide;ORTIDE;OK
45;Rafflesia;RAFFLESIA;OK
46;Paras;PARAS;OK
47;Parasect;PARASECT;OK
48;Mimitoss;MIMITOSS;OK
49;Aeromite;AEROMITE;OK
50;Taupiqueur;TAUPIQUEUR;OK
51;Triopikeur;TRIOPIKEUR;OK
52;Miaouss;MIAOUSS;OK
53;Persian;PERSIAN;OK
54;Psykokwak;PSYKOKWAK;OK
55;Akwakwak;AKWAKWAK;OK
56;Ferosinge;FEROSINGE;OK
57;Colossinge;COLOSSINGE;OK
58;Caninos;CANINOS;OK
59;Arcanin;ARCANIN;OK
60;Ptitard;PTITARD;OK
61;Tetarte;TETARTE;OK
62;Tartard;TARTARD;OK
63;Abra;ABRA;OK
64;Kadabra;KADABRA;OK
65;Alakazam;ALAKAZAM;OK
66;Machoc;MACHOC;OK
67;Machopeur;MACHOPEUR;OK
68;Mackogneur;MACKOGNEUR;OK
69;Chetiflor;CHETIFLOR;OK
70;Boustiflor;BOUSTIFLOR;OK
71;Empiflor;EMPIFLOR;OK
72;Tentacool;TENTACOOL;OK
73;Tentacruel;TENTACRUEL;OK
74;Racaillou;RACAILLOU;OK
75;Gravalanch;GRAVALANCH;OK
76;Grolem;GROLEM;OK
77;Ponyta;PONYTA;OK
78;Galopa;GALOPA;OK
